,Package Name,Duration (Days),Duration (Nights),Cities,Actual Price,Offer Price,Discount (%),Hotel Rating
0,Most Reasonable Goa Honeymoon Tour Packages,5,4,Goa (5D),9142,7999,13,2
1,Fantastic Andaman Honeymoon Package,5,4,Port Blair (3D)Havelock (2D),18811,15599,17,3
2,Romantic Mussoorie Tour Package From Delhi,3,2,Mussoorie (3D),12000,10500,13,3
3,Coorg Package For 2 Nights And 3 Days,3,2,Coorg (3D),15934,14500,9,3
4,Best 4N 5D Andaman Sightseeing Tour Package For A Refreshing Getaway,5,4,Port Blair (4D)Havelock (1D),36484,33200,9,3
5,Mesmerising Manali Trip Package From Chandigarh,3,2,Manali (3D),10440,9500,9,3
6,Hills & Houseboat: Munnar and Alleppey Honeymoon Package,6,5,Munnar (2D)Thekkady (1D)Alleppey (1D)Kochi (2D),24444,22000,10,3
7,Top Family Holiday Packages in Goa for an Ideal Family Vacation,5,4,Calangute (5D),10868,9999,8,3
8,Most Affordable 1 Night 2 Days Uttarakhand Tour Packages From Delhi,2,1,Rishikesh (2D),3360,2800,17,2
9,Top 4 Nights 5 Days Best-Selling Sikkim Gangtok Darjeeling Tour Package,5,4,Gangtok (2D)Darjeeling (3D),26258,22000,16,3
10,Best 5 Night 6 Day Leh Ladakh Tour Package For A Fun Filled Vacay,6,5,Leh (5D)Nubra Valley (1D),28110,21999,22,3
11,Postcard-Perfect Sikkim Gangtok Lachung Honeymoon Packages,5,4,Gangtok (4D)Lachung (1D),24000,22000,8,3
12,Best Selling Kerala Houseboat & Jungle Safari Tour Package,5,4,Munnar (2D)Thekkady (1D)Alleppey (2D),24604,20048,19,4
13,Go on an excursion to Shillong to witness the best of natural attraction,6,5,Kaziranga (2D)Shillong (2D)Guwahati (2D),28160,24499,13,3
14,Top 5 Nights 6 Days Kerala Family Tour Packages For A Refreshing Getaway,6,5,Munnar (2D)Thekkady (1D)Alleppey (1D)Kochi (2D),29674,24279,18,4
15,Exciting Goa Tour Packages For A Perfect Getaway,3,2,Goa (3D),15615,14500,7,3
16,Discover Our Beautiful 4 Nights 5 Days Andaman Family Tour Packages,5,4,Port Blair (4D)Havelock (1D),23574,18990,19,2
17,4 Nights 5 Days Sikkim Family Tour Package,5,4,Gangtok (4D)Lachung (1D),26400,22000,17,2
18,Best Selling Shimla Honeymoon Tour Packages For A Wonderful Vacation,3,2,Shimla (3D),10543,9000,15,2
19,Jammu Kashmir Family Package,7,6,Katra (1D)Pahalgam (1D)Srinagar (4D)Gulmarg (1D),26910,24999,7,2
20,Udaipur: More Than The Just The City Of Lakes,3,2,Udaipur (3D),7539,6499,14,2
